Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
16,247,7,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,7,David,JONES,1072,70.72,1333.4,Excluded,7,UK Independence Party
16,249,7,Dolores,KELLY,4335,87.31,4559.47,,,Social Democratic and Labour Party
16,250,7,Martin,KELLY,672,-828.64,0,Excluded,6,Cannabis Is Safer Than Alcohol
16,251,7,Simon,LEE,495,0,0,Excluded,4,Green Party
16,252,7,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,7,Sophie,LONG,704,0,0,Excluded,5,Progressive Unionist Party
16,254,7,Stephen,MCCARROLL,33,0,0,Excluded,3,Independent
16,255,7,Ian Keith,NICKELS,79,0,0,Excluded,3,NI Conservatives
16,256,7,John,ODOWD,5209,118,5363.68,,,Sinn Fein
16,257,7,Kyle,SAVAGE,1760,20.8,2144.06,,,Ulster Unionist Party
16,258,7,Catherine,SEELEY,6164,119,6344.47,,,Sinn Fein
16,242,8,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,8,Doug,BEATTIE,2969,324.9,3658.56,,,Ulster Unionist Party
16,244,8,Jo-Anne,DOBSON,5155,235.02,6136.86,,,Ulster Unionist Party
16,245,8,Roy,FERGUSON,1177,319.93,1707.82,Excluded,8,Traditional Unionist Voice
16,246,8,Harry,HAMILTON,1424,67.04,1943.07,,,Alliance Party
16,247,8,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,8,David,JONES,1072,-1333.4,0,Excluded,7,UK Independence Party
16,249,8,Dolores,KELLY,4335,20.65,4580.12,,,Social Democratic and Labour Party
16,250,8,Martin,KELLY,672,0,0,Excluded,6,Cannabis Is Safer Than Alcohol
16,251,8,Simon,LEE,495,0,0,Excluded,4,Green Party
16,252,8,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,8,Sophie,LONG,704,0,0,Excluded,5,Progressive Unionist Party
16,254,8,Stephen,MCCARROLL,33,0,0,Excluded,3,Independent
16,255,8,Ian Keith,NICKELS,79,0,0,Excluded,3,NI Conservatives
16,256,8,John,ODOWD,5209,18,5381.68,,,Sinn Fein
16,257,8,Kyle,SAVAGE,1760,88.12,2232.18,,,Ulster Unionist Party
16,258,8,Catherine,SEELEY,6164,14.31,6358.78,,,Sinn Fein
16,242,9,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,9,Doug,BEATTIE,2969,460.23,4118.79,,,Ulster Unionist Party
16,244,9,Jo-Anne,DOBSON,5155,412,6548.86,Elected,9,Ulster Unionist Party
16,245,9,Roy,FERGUSON,1177,-1707.82,0,Excluded,8,Traditional Unionist Voice
16,246,9,Harry,HAMILTON,1424,30.69,1973.76,Excluded,9,Alliance Party
16,247,9,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,9,David,JONES,1072,0,0,Excluded,7,UK Independence Party
16,249,9,Dolores,KELLY,4335,16.98,4597.1,,,Social Democratic and Labour Party
16,250,9,Martin,KELLY,672,0,0,Excluded,6,Cannabis Is Safer Than Alcohol
16,251,9,Simon,LEE,495,0,0,Excluded,4,Green Party
16,252,9,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,9,Sophie,LONG,704,0,0,Excluded,5,Progressive Unionist Party
16,254,9,Stephen,MCCARROLL,33,0,0,Excluded,3,Independent
16,255,9,Ian Keith,NICKELS,79,0,0,Excluded,3,NI Conservatives
16,256,9,John,ODOWD,5209,11.18,5392.86,,,Sinn Fein
16,257,9,Kyle,SAVAGE,1760,402.42,2634.6,,,Ulster Unionist Party
16,258,9,Catherine,SEELEY,6164,1,6359.78,,,Sinn Fein
16,242,10,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,10,Doug,BEATTIE,2969,335.78,4454.57,,,Ulster Unionist Party
16,244,10,Jo-Anne,DOBSON,5155,0,6548.86,Elected,9,Ulster Unionist Party
16,245,10,Roy,FERGUSON,1177,0,0,Excluded,8,Traditional Unionist Voice
16,246,10,Harry,HAMILTON,1424,-1973.76,0,Excluded,9,Alliance Party
16,247,10,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,10,David,JONES,1072,0,0,Excluded,7,UK Independence Party
16,249,10,Dolores,KELLY,4335,640.78,5237.88,,,Social Democratic and Labour Party
16,250,10,Martin,KELLY,672,0,0,Excluded,6,Cannabis Is Safer Than Alcohol
16,251,10,Simon,LEE,495,0,0,Excluded,4,Green Party
16,252,10,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,10,Sophie,LONG,704,0,0,Excluded,5,Progressive Unionist Party
16,254,10,Stephen,MCCARROLL,33,0,0,Excluded,3,Independent
16,255,10,Ian Keith,NICKELS,79,0,0,Excluded,3,NI Conservatives
16,256,10,John,ODOWD,5209,75.36,5468.22,,,Sinn Fein
16,257,10,Kyle,SAVAGE,1760,126.26,2760.86,Excluded,10,Ulster Unionist Party
16,258,10,Catherine,SEELEY,6164,80.18,6439.96,,,Sinn Fein
16,242,11,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,11,Doug,BEATTIE,2969,2115.22,6569.79,Elected,11,Ulster Unionist Party
16,244,11,Jo-Anne,DOBSON,5155,0,6548.86,Elected,9,Ulster Unionist Party
