Constituency_Number,Constituency_Name,Candidate_Id,Firstname,Surname,Candidate_First_Pref_Votes,Status,Party_Name
16,Upper Bann,245,Roy,FERGUSON,1177,,Traditional Unionist Voice
16,Upper Bann,246,Harry,HAMILTON,1424,,Alliance Party
16,Upper Bann,247,Emma,HUTCHINSON,250,,NI Labour Representation Committee
16,Upper Bann,248,David,JONES,1072,,UK Independence Party
16,Upper Bann,249,Dolores,KELLY,4335,,Social Democratic and Labour Party
16,Upper Bann,250,Martin,KELLY,672,,Cannabis Is Safer Than Alcohol
16,Upper Bann,251,Simon,LEE,495,,Green Party
16,Upper Bann,252,Carla,LOCKHART,7993,Elected,Democratic Unionist Party
16,Upper Bann,253,Sophie,LONG,704,,Progressive Unionist Party
16,Upper Bann,254,Stephen,MCCARROLL,33,,Independent
16,Upper Bann,255,Ian Keith,NICKELS,79,,NI Conservatives
16,Upper Bann,256,John,ODOWD,5209,,Sinn Fein
16,Upper Bann,257,Kyle,SAVAGE,1760,,Ulster Unionist Party
16,Upper Bann,258,Catherine,SEELEY,6164,,Sinn Fein
18,West Tyrone,259,Michaela,BOYLE,4460,,Sinn Fein
18,West Tyrone,260,Allan,BRESLAND,3884,,Democratic Unionist Party
18,West Tyrone,261,Barry,BROWN,547,Excluded,Cannabis Is Safer Than Alcohol
18,West Tyrone,262,Thomas,BUCHANAN,4650,,Democratic Unionist Party
18,West Tyrone,263,Josephine Anne,DEENAN,1778,,Independent
18,West Tyrone,264,Stephen,DONNELLY,494,Excluded,Alliance Party
18,West Tyrone,265,Corey,FRENCH,124,Excluded,Independent
18,West Tyrone,266,Ross,HUSSEY,4441,,Ulster Unionist Party
18,West Tyrone,267,Patsy,KELLY,661,Excluded,Independent
18,West Tyrone,268,Roger,LOMAS,44,Excluded,NI Conservatives
18,West Tyrone,269,Declan,MCALEER,3565,,Sinn Fein
18,West Tyrone,270,Laura,MCANEA,224,Excluded,Animal Welfare Party
18,West Tyrone,271,Sorcha,MCANESPY,828,Excluded,Independent
18,West Tyrone,272,Ciaran,MCCLEAN,458,Excluded,Green Party
18,West Tyrone,273,Daniel,MCCROSSAN,4287,,Social Democratic and Labour Party
18,West Tyrone,274,Grace,MCDERMOTT,3711,,Sinn Fein
18,West Tyrone,275,Barry,MCELDUFF,4568,,Sinn Fein
18,West Tyrone,276,Susan-Anne,WHITE,85,Excluded,Independent
