Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Candidate_First_Pref_Votes,Status,Occurred_On_Count,Gender,Twitter
Newry and Armagh,8,161,Danny,KENNEDY,1,26,Ulster Unionist Party,4904,Elected,7,M,@DKennedy_UUP
Newry and Armagh,8,162,Alan,LOVE,0,689,UK Independence Party,315,Excluded,3,M,@AlanLove1
Newry and Armagh,8,163,Martin,MCALLISTER,0,21,Independent,940,Excluded,4,M,
Newry and Armagh,8,164,Karen,MCKEVITT,1,23,Social Democratic and Labour Party,3923,Excluded,8,F,@Karen_McKevitt
Newry and Armagh,8,165,Justin,MCNULTY,0,23,Social Democratic and Labour Party,4775,Elected,8,M,@JustinMcNu1ty
Newry and Armagh,8,166,Conor,MURPHY,1,24,Sinn Fein,5854,Elected,8,M,@conormurphysf
Newry and Armagh,8,167,Sam,NICHOLSON,0,26,Ulster Unionist Party,1841,Excluded,6,M,
Newry and Armagh,8,168,Michael,WATTERS,0,111,Green Party,335,Excluded,2,M,
Newry and Armagh,8,169,Craig,WEIR,0,19,Alliance Party,493,Excluded,3,M,@Weir_NI
North Antrim,9,170,Jim,ALLISTER,1,141,Traditional Unionist Voice,5399,Elected,7,M,@JimAllister
North Antrim,9,171,Donna,ANDERSON,0,689,UK Independence Party,1027,Excluded,4,F,
North Antrim,9,172,Jenny,BRESLIN,0,111,Green Party,513,Excluded,2,F,
North Antrim,9,173,Connor,DUNCAN,0,23,Social Democratic and Labour Party,3093,Excluded,10,M,@CDuncanSDLP
North Antrim,9,174,Paul,FREW,1,20,Democratic Unionist Party,5429,Elected,8,M,@paulfrewDUP
North Antrim,9,175,Timothy,GASTON,0,141,Traditional Unionist Voice,1955,Excluded,6,M,@CllrGaston
North Antrim,9,176,Kathryn,JOHNSTON,0,989,NI Labour Representation Committee,243,Excluded,1,F,@kathrynjohnston
North Antrim,9,177,Phillip,LOGAN,0,20,Democratic Unionist Party,3635,Elected,10,M,@philliplogan
North Antrim,9,178,Stephen,MCFARLAND,0,19,Alliance Party,1318,Excluded,5,M,
North Antrim,9,179,David,MCILVEEN,1,20,Democratic Unionist Party,3209,Excluded,8,M,@DavidRMcIlveen
North Antrim,9,180,Daithi Gerard,MCKAY,1,24,Sinn Fein,5297,Elected,10,M,@daithimckay
North Antrim,9,181,James,SIMPSON,0,991,NI Conservatives,92,Excluded,1,M,
North Antrim,9,182,Mervyn,STOREY,1,20,Democratic Unionist Party,5382,Elected,9,M,
North Antrim,9,183,Robin,SWANN,1,26,Ulster Unionist Party,3585,Elected,10,M,@RobinSwannUUP
North Antrim,9,184,Andrew,WRIGHT,0,26,Ulster Unionist Party,821,Excluded,3,M,
North Down,11,185,Steven,AGNEW,1,111,Green Party,4109,Elected,8,M,@StevenAgnew
North Down,11,186,John,BRENNAN,0,141,Traditional Unionist Voice,610,Excluded,6,M,@JohnbrennanNI
