Candidate_Id,MemberName,MemberFrom,MemberTo,MemberLastName,MemberFirstName,MemberFullDisplayName,MemberTitle,MemberSortName,MemberNormalName
96,"Robinson, George",2011-05-05,2016-03-30,Robinson,George,Mr G Robinson,MLA - East Londonderry,RobinsonGeorge,George Robinson
NA,"Robinson, Peter",2011-05-05,2016-03-30,Robinson,Peter,Mr P Robinson,MLA - East Belfast,RobinsonPeter,Peter Robinson
224,"Rogers, Seán",2012-04-02,2016-03-30,Rogers,Seán,Mr S Rogers,MLA - South Down,RogersSeán,Seán Rogers
78,"Ross, Alastair",2011-05-05,2016-03-30,Ross,Alastair,Mr A Ross,MLA - East Antrim,RossAlastair,Alastair Ross
225,"Ruane, Caitríona",2011-05-05,2016-03-30,Ruane,Caitríona,Ms C Ruane,MLA - South Down,RuaneCaitríona,Caitríona Ruane
66,"Sheehan, Pat",2011-05-05,2016-03-30,Sheehan,Pat,Mr P Sheehan,MLA - West Belfast,SheehanPat,Pat Sheehan
182,"Storey, Mervyn",2011-05-05,2016-03-30,Storey,Mervyn,Mr M Storey,MLA - North Antrim,StoreyMervyn,Mervyn Storey
97,"Sugden, Claire",2014-05-06,2016-03-30,Sugden,Claire,Ms C Sugden,MLA - East Londonderry,SugdenClaire,Claire Sugden
183,"Swann, Robin",2011-05-05,2016-03-30,Swann,Robin,Mr R Swann,MLA - North Antrim,SwannRobin,Robin Swann
199,"Weir, Peter",2011-05-05,2016-03-30,Weir,Peter,Mr P Weir,MLA - North Down,WeirPeter,Peter Weir
226,"Wells, Jim",2011-05-05,2016-03-30,Wells,Jim,Mr J Wells,MLA - South Down,WellsJim,Jim Wells
