Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Lagan Valley,6,122,Jack,IRWIN,0,991,NI Conservatives,,lagan-valley,M
Lagan Valley,6,123,Trevor,LUNN,1,19,Alliance Party,,lagan-valley,M
Lagan Valley,6,124,Jenny,PALMER,0,26,Ulster Unionist Party,,lagan-valley,F
Lagan Valley,6,125,Edwin,POOTS,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,126,Lyle,REA,0,141,Traditional Unionist Voice,,lagan-valley,M
Mid Ulster,7,127,Keith,BUCHANAN,0,20,Democratic Unionist Party,,mid-ulster,M
Mid Ulster,7,128,Alan,DAY,0,689,UK Independence Party,,mid-ulster,M
Mid Ulster,7,129,Linda,DILLON,0,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,130,Neidin,HENDRON,0,19,Alliance Party,,mid-ulster,F
Mid Ulster,7,131,Hannah,LOUGHRIN,0,141,Traditional Unionist Voice,,mid-ulster,F
Mid Ulster,7,132,Ian,MCCREA,1,20,Democratic Unionist Party,,mid-ulster,M
Mid Ulster,7,133,Patsy,MCGLONE,1,23,Social Democratic and Labour Party,,mid-ulster,M
Mid Ulster,7,134,Ian,MILNE,1,24,Sinn Fein,,mid-ulster,M
Mid Ulster,7,135,Michelle,ONEILL,1,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,136,Sandra,OVEREND,1,26,Ulster Unionist Party,,mid-ulster,F
Mid Ulster,7,137,Hugh,SCULLION,0,998,Workers Party,,mid-ulster,M
Mid Ulster,7,138,Stefan,TAYLOR,0,111,Green Party,,mid-ulster,M
Newry and Armagh,8,139,Paul,BERRY ,0,21,Independent,,newry-armagh,M
Newry and Armagh,8,140,Cathal,BOYLAN,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,141,Emmet,CROSSAN,0,993,Cannabis Is Safer Than Alcohol,,newry-armagh,M
Newry and Armagh,8,142,Megan,FEARON,1,24,Sinn Fein,,newry-armagh,F
Newry and Armagh,8,143,William,IRWIN,1,20,Democratic Unionist Party,,newry-armagh,M
Newry and Armagh,8,144,Danny,KENNEDY,1,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,145,Alan,LOVE,0,689,UK Independence Party,,newry-armagh,M
Newry and Armagh,8,146,Karen,MCKEVITT,1,23,Social Democratic and Labour Party,,newry-armagh,F
Newry and Armagh,8,147,Justin,MCNULTY,0,23,Social Democratic and Labour Party,,newry-armagh,M
Newry and Armagh,8,148,Conor,MURPHY,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,149,Sam,NICHOLSON,0,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,150,Michael,WATTERS,0,111,Green Party,,newry-armagh,M
Newry and Armagh,8,151,Craig,WEIR,0,19,Alliance Party,,newry-armagh,M
North Antrim,9,152,Jim,ALLISTER,1,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,153,Donna,ANDERSON,0,689,UK Independence Party,,north-antrim,F
North Antrim,9,154,Jenny,BRESLIN,0,111,Green Party,,north-antrim,F
