text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Emilymatters: Over on @BBCNews Channel right now, #BBCNIdebate. Tune in if you're still undecided for Thursday https://t.co/gYpcFb5hii.?",FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152798903210000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SciPhiKat,4,TRUE,FALSE,NA,NA
RT @ussf79: Good luck to all PUP candidates today. #progressive #ae16 @_hutchinsonb @jimmccaw2 @SophieLong01 @shanksybraniel @cllrjohnkyle?,FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152770717454000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",markfee1978,19,TRUE,FALSE,NA,NA
"Time to Vote #ae16 (@ Mossley Primary School in Newtownabbey, Northern Ireland) https://t.co/DIPweZVIJL",FALSE,0,NA,05/05/16 09:21,FALSE,NA,728152743102300000,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",raiderfra,0,FALSE,FALSE,-5.94464497,54.69231575
RT @NIFHA: With support from @niexecutive &amp; @niassembly housing associations can deliver great homes&amp;thriving communities #ae16 https://t.c?,FALSE,0,NA,05/05/16 09:21,FALSE,NA,728152607751987000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HelmHousing,15,TRUE,FALSE,NA,NA
<U+26AB><U+FE0F> #DontVoteDUP they have weaponised an equality veto to oppress! #AE16 Please sign here: https://t.co/4G6B7F93Hj https://t.co/APTfTQx5Hl,FALSE,29,NA,05/05/16 09:21,FALSE,NA,728152577485865000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",thegaysay,18,FALSE,FALSE,NA,NA
RT @QUBSU: 276 candidates standing in 18 constituencies for 108 seats in the Northern Ireland Assembly. Polls open til 10pm make your vote?,FALSE,0,NA,05/05/16 09:21,FALSE,NA,728152565922169000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jagowers,8,TRUE,FALSE,NA,NA
#Sinnfein using dead peoples images against the will of their families for electioneering purposes. No depth to which they wont sink. #ae16,FALSE,4,NA,05/05/16 09:21,FALSE,NA,728152548083937000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nornirongunner,2,FALSE,FALSE,NA,NA
"RT @Unitedprotestan: Final count predictions 
What's yours #ae16 https://t.co/WEZCE8vOYw",FALSE,0,NA,05/05/16 09:20,FALSE,NA,728152495734727000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",finaghy1,1,TRUE,FALSE,NA,NA
RT @SouthAntrimUUP: Did you #VoteUUP today? Show your support by sharing this on Twitter and Facebook! #IVotedUUP #AE16 @uuponline https://?,FALSE,0,NA,05/05/16 09:20,FALSE,NA,728152252834161000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AndrewMcD_NI,6,TRUE,FALSE,NA,NA
"RT @SouthTyroneUUP: Were you sick of the last 5 years in Stormont? Then vote for real change. Vote Patterson 1, Barton 2 in South Tyrone. #?",FALSE,0,NA,05/05/16 09:19,FALSE,NA,728152204704518000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AndrewMcD_NI,4,TRUE,FALSE,NA,NA
RT @felicityhuston: #ae16 Please go out and vote. 100 years ago women were dying here to get the vote. It still matters. Ask anyone living?,FALSE,0,NA,05/05/16 09:19,FALSE,NA,728152175344378000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",gaygael,12,TRUE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 09:19,FALSE,NA,728152019194679000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mark_theMoff,49,TRUE,FALSE,NA,NA
Off to vote. I've seen East Belfast bring about change before @duponline brought their scare tactics back last year. Let's do it again #ae16,FALSE,3,NA,05/05/16 09:19,FALSE,NA,728152009572897000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AGRMoore,1,FALSE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 09:18,FALSE,NA,728151879494992000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",laurenlquigley,49,TRUE,FALSE,NA,NA
RT @felicityhuston: #ae16 Please go out and vote. 100 years ago women were dying here to get the vote. It still matters. Ask anyone living?,FALSE,0,NA,05/05/16 09:18,FALSE,NA,728151842236961000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Emma_Louise50,12,TRUE,FALSE,NA,NA
RT @Niall_TheDetail: Interested in the NI Assembly Elections as they happen @electionsni is a must with live and open data for #ae16 https:?,FALSE,0,NA,05/05/16 09:18,FALSE,NA,728151804186264000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CLAIREROKANE,8,TRUE,FALSE,NA,NA
Planning on voting for the @duponline today? https://t.co/4OJ8Ey29MY #ae16,FALSE,1,NA,05/05/16 09:17,FALSE,NA,728151733453521000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",John_Meg,0,FALSE,FALSE,NA,NA
RT @NIFHA: With support from @niexecutive &amp; @niassembly housing associations can deliver great homes&amp;thriving communities #ae16 https://t.c?,FALSE,0,NA,05/05/16 09:17,FALSE,NA,728151529190887000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ClareLegge2,15,TRUE,FALSE,NA,NA
